batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
0,0.341612,0.243234,0.125499,0.207701,0.141048,0.0164477
1,0.132976,0.134326,0.0226302,0.072245,0.128866,0.00525967
2,0.185582,0.123214,0.100866,0.236739,0.118567,0.13261
3,0.113274,0.116775,0.113726,0.000977552,0.113277,0.0369031
4,0.000635715,0.110472,0.0346385,0.000657859,0.106937,0.0343371
5,0.159231,0.112203,0.223107,0.000592232,0.105827,0.0468647
6,0.000271724,0.107462,0.0623996,0.000128596,0.104367,0.0421306
7,0.00160509,0.104535,0.0623229,0.520237,0.103384,0.363055
8,1.0281,0.103922,0.773679,0.152843,0.101472,0.159793
9,1.22602,0.102712,0.823774,1.30802,0.0997043,0.717846
10,0.997621,0.0991484,0.947751,0.830676,0.0970131,0.963045
11,0.522495,0.0981639,1.19292,0.50186,0.0978522,1.32776
12,0.454192,0.0965231,1.41396,0.328338,0.0991222,1.6219
13,0.261285,0.101212,1.72921,0.246369,0.101483,1.92962
14,0.216384,0.103927,2.43383,0.430782,0.117217,1.51468
15,0.368897,0.117158,1.56085,0.069941,0.107652,0.275411
16,0.271659,0.114924,1.35863,0.526548,0.110139,2.04598
17,0.405634,0.120619,1.34726,0.333446,0.119605,0.606546
18,0.385838,0.111811,1.14931,0.276367,0.111977,1.88745
19,0.114667,0.109622,2.43762,0.0658483,0.097091,2.75987
20,0.0652297,0.0939335,2.76542,0.0646374,0.0937663,2.77245
21,0.0646137,0.0919984,2.77241,0.0645757,0.0913122,2.77237
22,0.0645823,0.0929242,2.77238,0.0645713,0.0915539,2.77236
23,0.0645784,0.090866,2.7724,0.0645682,0.0896907,2.7724
24,0.0645738,0.0902354,2.77244,0.0645661,0.09085,2.77244
25,0.0645659,0.0898295,2.77247,0.064558,0.0906002,2.77247
26,0.0645622,0.0898566,2.77248,0.0645533,0.088455,2.77248
27,0.0645581,0.0892834,2.77248,0.0645558,0.0886306,2.77248
28,0.0645569,0.0884884,2.7725,0.0645537,0.0874962,2.7725
29,0.0645544,0.0875055,2.77251,0.0645524,0.0882601,2.77251
30,0.0645501,0.0885516,2.77252,0.0645492,0.086551,2.77252
31,0.0645518,0.0865379,2.77252,0.0645491,0.0863668,2.77253
32,0.0645496,0.0863634,2.77254,0.0645476,0.0859084,2.77254
33,0.0645474,0.0862761,2.77254,0.0645463,0.0862532,2.77254
34,0.064547,0.0859383,2.77254,0.0645452,0.085939,2.77255
35,0.0645461,0.0858495,2.77255,0.0645449,0.0857352,2.77255
36,0.0645454,0.0853546,2.77256,0.0645443,0.0854753,2.77256
37,0.0645447,0.0847943,2.77256,0.064544,0.0840873,2.77256
38,0.0645441,0.0848089,2.77256,0.0645431,0.0843894,2.77254
39,0.0645434,0.0839143,2.77256,0.0645437,0.084114,2.77257
40,0.0645428,0.0840283,2.77257,0.0645415,0.0831976,2.77257
41,0.0645425,0.0834523,2.77257,0.0645422,0.0832118,2.77256
42,0.0645424,0.0836013,2.77257,0.0645415,0.083222,2.77257
43,0.064542,0.0833783,2.77257,0.0645411,0.0835263,2.77257
44,0.0645415,0.0827275,2.77258,0.0645409,0.0826694,2.77257
45,0.0645413,0.0826814,2.77258,0.0645407,0.0821678,2.77258
46,0.0645411,0.0829475,2.77257,0.0645407,0.0815892,2.77258
47,0.0645407,0.0825113,2.77258,0.0645404,0.0822893,2.77258
48,0.0645405,0.0824863,2.77258,0.0645401,0.0811343,2.77258
49,0.0645404,0.0813314,2.77258,0.06454,0.082068,2.77258
50,0.0645401,0.0821057,2.77258,0.0645398,0.0814798,2.77258
51,0.06454,0.0810486,2.77258,0.0645399,0.0805415,2.77253
52,0.0645399,0.0814396,2.77258,0.0645397,0.0807407,2.77258
53,0.0645397,0.0808005,2.77258,0.0645396,0.0803911,2.77258
54,0.0645397,0.0808312,2.77258,0.0645395,0.0815508,2.77258
55,0.0645396,0.0801673,2.77258,0.0645394,0.0798762,2.77258
56,0.0645395,0.080021,2.77258,0.0645393,0.079535,2.77258
57,0.0645394,0.0796724,2.77258,0.0645392,0.0796264,2.77258
58,0.0645392,0.0799378,2.77258,0.0645393,0.0797058,2.77258
59,0.0645392,0.0793506,2.77258,0.0645392,0.0792928,2.77258
60,0.0645392,0.0794233,2.77258,0.0645392,0.0793999,2.77259
61,0.0645391,0.0799301,2.77258,0.0645391,0.0788349,2.77259
62,0.064539,0.0796315,2.77258,0.064539,0.0793762,2.77259
63,0.064539,0.0789191,2.77258,0.064539,0.0793784,2.77259
64,0.064539,0.0791299,2.77258,0.064539,0.0787521,2.77259
65,0.064539,0.0784964,2.77259,0.0645389,0.0796644,2.77259
66,0.0645389,0.0781145,2.77259,0.0645389,0.0781791,2.77259
67,0.0645389,0.0786155,2.77259,0.0645388,0.0786603,2.77259
68,0.0645389,0.0782156,2.77259,0.0645388,0.0780812,2.77259
69,0.0645389,0.0772259,2.77259,0.0645388,0.0770923,2.77259
70,0.0645388,0.0773033,2.77259,0.369833,0.0771161,2.27704
71,0.257605,0.0827253,2.31708,0.064632,0.0785457,2.77259
72,0.0645684,0.0776626,2.77259,0.0645539,0.0765123,2.77259
73,0.0645527,0.076899,2.77259,0.064548,0.0770348,2.77259
74,0.0645465,0.0769464,2.77258,0.064545,0.0768727,2.77259
75,0.0645447,0.0764594,2.77259,0.0645438,0.0762328,2.77259
76,0.064543,0.0766679,2.77258,0.0645426,0.0760936,2.77259
77,0.0645425,0.0764213,2.77258,0.0645419,0.0766519,2.77259
